Month,SiteID,SiteName,Region,Agency,Role,Hours,HourlyRate,AgencySpend
2025-08-01,S003,Leeds Care & Education Centre,North,CareTemps,Support Worker,143,23,3289
2025-08-01,S003,Leeds Care & Education Centre,North,HealthStaffing,Registered Nurse,145,42,6090
2025-08-01,S004,Newcastle Care & Education Centre,North,NurseLink,Support Worker,80,23,1840
2025-08-01,S005,Sheffield Care & Education Centre,North,HealthStaffing,Senior Support Worker,133,28,3724
2025-08-01,S005,Sheffield Care & Education Centre,North,HealthStaffing,Support Worker,56,23,1288
2025-08-01,S005,Sheffield Care & Education Centre,North,NurseLink,Registered Nurse,58,42,2436
2025-08-01,S006,Birmingham Care & Education Centre,Midlands,NurseLink,Registered Nurse,10,42,420
2025-08-01,S006,Birmingham Care & Education Centre,Midlands,CareTemps,Support Worker,148,23,3404
2025-08-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Senior Support Worker,59,28,1652
2025-08-01,S008,Leicester Care & Education Centre,Midlands,HealthStaffing,Support Worker,85,23,1955
2025-08-01,S009,Derby Care & Education Centre,Midlands,NurseLink,Senior Support Worker,58,28,1624
2025-08-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,114,42,4788
2025-08-01,S010,Coventry Care & Education Centre,Midlands,NurseLink,Senior Support Worker,76,28,2128
2025-08-01,S010,Coventry Care & Education Centre,Midlands,CareTemps,Support Worker,44,23,1012
2025-08-01,S010,Coventry Care & Education Centre,Midlands,CareTemps,Registered Nurse,105,42,4410
2025-08-01,S011,London Care & Education Centre,South,NurseLink,Support Worker,39,23,897
2025-08-01,S011,London Care & Education Centre,South,NurseLink,Registered Nurse,60,42,2520
2025-08-01,S012,Bristol Care & Education Centre,South,HealthStaffing,Senior Support Worker,16,28,448
2025-08-01,S012,Bristol Care & Education Centre,South,HealthStaffing,Registered Nurse,40,42,1680
2025-08-01,S013,Reading Care & Education Centre,South,HealthStaffing,Registered Nurse,96,42,4032
2025-08-01,S013,Reading Care & Education Centre,South,NurseLink,Support Worker,21,23,483
2025-08-01,S014,Southampton Care & Education Centre,South,NurseLink,Registered Nurse,38,42,1596
2025-08-01,S014,Southampton Care & Education Centre,South,CareTemps,Senior Support Worker,89,28,2492
2025-08-01,S015,Brighton Care & Education Centre,South,CareTemps,Senior Support Worker,70,28,1960
2025-08-01,S015,Brighton Care & Education Centre,South,NurseLink,Support Worker,159,23,3657
2025-08-01,S015,Brighton Care & Education Centre,South,NurseLink,Registered Nurse,154,42,6468
2025-08-01,S016,Cardiff Care & Education Centre,Wales,NurseLink,Support Worker,59,23,1357
2025-08-01,S016,Cardiff Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,109,28,3052
2025-08-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Support Worker,116,23,2668
2025-08-01,S017,Swansea Care & Education Centre,Wales,CareTemps,Senior Support Worker,69,28,1932
2025-08-01,S018,Newport Care & Education Centre,Wales,NurseLink,Senior Support Worker,37,28,1036
2025-08-01,S019,Wrexham Care & Education Centre,Wales,NurseLink,Senior Support Worker,89,28,2492
2025-08-01,S019,Wrexham Care & Education Centre,Wales,HealthStaffing,Registered Nurse,83,42,3486
2025-08-01,S020,Bangor Care & Education Centre,Wales,NurseLink,Registered Nurse,74,42,3108
2025-09-01,S001,Preston Care & Education Centre,North,HealthStaffing,Support Worker,105,23,2415
2025-09-01,S001,Preston Care & Education Centre,North,HealthStaffing,Senior Support Worker,63,28,1764
2025-09-01,S002,Manchester Care & Education Centre,North,HealthStaffing,Senior Support Worker,49,28,1372
2025-09-01,S003,Leeds Care & Education Centre,North,CareTemps,Registered Nurse,93,42,3906
2025-09-01,S004,Newcastle Care & Education Centre,North,HealthStaffing,Senior Support Worker,103,28,2884
2025-09-01,S004,Newcastle Care & Education Centre,North,HealthStaffing,Support Worker,48,23,1104
2025-09-01,S004,Newcastle Care & Education Centre,North,HealthStaffing,Registered Nurse,122,42,5124
2025-09-01,S005,Sheffield Care & Education Centre,North,NurseLink,Senior Support Worker,28,28,784
2025-09-01,S005,Sheffield Care & Education Centre,North,NurseLink,Registered Nurse,69,42,2898
2025-09-01,S006,Birmingham Care & Education Centre,Midlands,CareTemps,Senior Support Worker,80,28,2240
2025-09-01,S006,Birmingham Care & Education Centre,Midlands,NurseLink,Registered Nurse,67,42,2814
2025-09-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Senior Support Worker,70,28,1960
2025-09-01,S008,Leicester Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,155,28,4340
2025-09-01,S008,Leicester Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,60,42,2520
2025-09-01,S008,Leicester Care & Education Centre,Midlands,NurseLink,Support Worker,175,23,4025
2025-09-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,105,42,4410
2025-09-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Support Worker,93,23,2139
2025-09-01,S009,Derby Care & Education Centre,Midlands,CareTemps,Senior Support Worker,106,28,2968
2025-09-01,S010,Coventry Care & Education Centre,Midlands,NurseLink,Support Worker,178,23,4094
2025-09-01,S010,Coventry Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,55,42,2310
2025-09-01,S011,London Care & Education Centre,South,CareTemps,Senior Support Worker,50,28,1400
2025-09-01,S011,London Care & Education Centre,South,HealthStaffing,Registered Nurse,63,42,2646
2025-09-01,S011,London Care & Education Centre,South,CareTemps,Support Worker,91,23,2093
2025-09-01,S012,Bristol Care & Education Centre,South,NurseLink,Support Worker,29,23,667
2025-09-01,S013,Reading Care & Education Centre,South,NurseLink,Support Worker,90,23,2070
2025-09-01,S013,Reading Care & Education Centre,South,NurseLink,Senior Support Worker,149,28,4172
2025-09-01,S013,Reading Care & Education Centre,South,HealthStaffing,Registered Nurse,95,42,3990
2025-09-01,S014,Southampton Care & Education Centre,South,HealthStaffing,Senior Support Worker,79,28,2212
2025-09-01,S014,Southampton Care & Education Centre,South,CareTemps,Registered Nurse,68,42,2856
2025-09-01,S014,Southampton Care & Education Centre,South,HealthStaffing,Support Worker,121,23,2783
2025-09-01,S015,Brighton Care & Education Centre,South,HealthStaffing,Registered Nurse,61,42,2562
2025-09-01,S015,Brighton Care & Education Centre,South,NurseLink,Support Worker,154,23,3542
2025-09-01,S016,Cardiff Care & Education Centre,Wales,NurseLink,Support Worker,157,23,3611
2025-09-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Registered Nurse,98,42,4116
2025-09-01,S017,Swansea Care & Education Centre,Wales,NurseLink,Support Worker,89,23,2047
2025-09-01,S018,Newport Care & Education Centre,Wales,HealthStaffing,Registered Nurse,126,42,5292
2025-09-01,S018,Newport Care & Education Centre,Wales,CareTemps,Support Worker,128,23,2944
2025-09-01,S018,Newport Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,61,28,1708
2025-09-01,S019,Wrexham Care & Education Centre,Wales,HealthStaffing,Support Worker,71,23,1633
2025-09-01,S019,Wrexham Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,43,28,1204
2025-09-01,S019,Wrexham Care & Education Centre,Wales,HealthStaffing,Registered Nurse,104,42,4368
2025-09-01,S020,Bangor Care & Education Centre,Wales,CareTemps,Senior Support Worker,113,28,3164
2025-09-01,S020,Bangor Care & Education Centre,Wales,NurseLink,Registered Nurse,42,42,1764
2025-09-01,S020,Bangor Care & Education Centre,Wales,HealthStaffing,Support Worker,74,23,1702
2025-10-01,S001,Preston Care & Education Centre,North,NurseLink,Support Worker,42,23,966
2025-10-01,S002,Manchester Care & Education Centre,North,HealthStaffing,Senior Support Worker,58,28,1624
2025-10-01,S002,Manchester Care & Education Centre,North,CareTemps,Support Worker,109,23,2507
2025-10-01,S002,Manchester Care & Education Centre,North,CareTemps,Registered Nurse,64,42,2688
2025-10-01,S003,Leeds Care & Education Centre,North,HealthStaffing,Support Worker,79,23,1817
2025-10-01,S004,Newcastle Care & Education Centre,North,NurseLink,Support Worker,33,23,759
2025-10-01,S005,Sheffield Care & Education Centre,North,NurseLink,Support Worker,96,23,2208
2025-10-01,S005,Sheffield Care & Education Centre,North,CareTemps,Registered Nurse,88,42,3696
2025-10-01,S005,Sheffield Care & Education Centre,North,NurseLink,Senior Support Worker,64,28,1792
2025-10-01,S006,Birmingham Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,83,28,2324
2025-10-01,S006,Birmingham Care & Education Centre,Midlands,NurseLink,Registered Nurse,96,42,4032
2025-10-01,S006,Birmingham Care & Education Centre,Midlands,NurseLink,Support Worker,61,23,1403
2025-10-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Support Worker,38,23,874
2025-10-01,S007,Nottingham Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,153,28,4284
2025-10-01,S007,Nottingham Care & Education Centre,Midlands,CareTemps,Registered Nurse,67,42,2814
2025-10-01,S008,Leicester Care & Education Centre,Midlands,NurseLink,Registered Nurse,86,42,3612
2025-10-01,S008,Leicester Care & Education Centre,Midlands,HealthStaffing,Support Worker,125,23,2875
2025-10-01,S009,Derby Care & Education Centre,Midlands,NurseLink,Support Worker,213,23,4899
2025-10-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,46,42,1932
2025-10-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,105,28,2940
2025-10-01,S010,Coventry Care & Education Centre,Midlands,HealthStaffing,Support Worker,65,23,1495
2025-10-01,S010,Coventry Care & Education Centre,Midlands,CareTemps,Senior Support Worker,71,28,1988
2025-10-01,S011,London Care & Education Centre,South,NurseLink,Senior Support Worker,64,28,1792
2025-10-01,S012,Bristol Care & Education Centre,South,CareTemps,Senior Support Worker,50,28,1400
2025-10-01,S012,Bristol Care & Education Centre,South,HealthStaffing,Support Worker,88,23,2024
2025-10-01,S013,Reading Care & Education Centre,South,HealthStaffing,Senior Support Worker,38,28,1064
2025-10-01,S013,Reading Care & Education Centre,South,NurseLink,Registered Nurse,123,42,5166
2025-10-01,S013,Reading Care & Education Centre,South,CareTemps,Support Worker,91,23,2093
2025-10-01,S014,Southampton Care & Education Centre,South,NurseLink,Support Worker,104,23,2392
2025-10-01,S014,Southampton Care & Education Centre,South,HealthStaffing,Senior Support Worker,73,28,2044
2025-10-01,S015,Brighton Care & Education Centre,South,HealthStaffing,Registered Nurse,77,42,3234
2025-10-01,S015,Brighton Care & Education Centre,South,NurseLink,Senior Support Worker,100,28,2800
2025-10-01,S015,Brighton Care & Education Centre,South,NurseLink,Support Worker,49,23,1127
2025-10-01,S016,Cardiff Care & Education Centre,Wales,HealthStaffing,Support Worker,77,23,1771
2025-10-01,S016,Cardiff Care & Education Centre,Wales,NurseLink,Senior Support Worker,59,28,1652
2025-10-01,S016,Cardiff Care & Education Centre,Wales,NurseLink,Registered Nurse,58,42,2436
2025-10-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Support Worker,16,23,368
2025-10-01,S017,Swansea Care & Education Centre,Wales,CareTemps,Senior Support Worker,136,28,3808
2025-10-01,S018,Newport Care & Education Centre,Wales,CareTemps,Support Worker,65,23,1495
2025-10-01,S019,Wrexham Care & Education Centre,Wales,CareTemps,Registered Nurse,130,42,5460
2025-10-01,S020,Bangor Care & Education Centre,Wales,CareTemps,Registered Nurse,127,42,5334
2025-10-01,S020,Bangor Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,44,28,1232
2025-10-01,S020,Bangor Care & Education Centre,Wales,HealthStaffing,Support Worker,51,23,1173
2025-11-01,S001,Preston Care & Education Centre,North,HealthStaffing,Registered Nurse,179,42,7518
2025-11-01,S002,Manchester Care & Education Centre,North,CareTemps,Support Worker,151,23,3473
2025-11-01,S002,Manchester Care & Education Centre,North,HealthStaffing,Senior Support Worker,88,28,2464
2025-11-01,S002,Manchester Care & Education Centre,North,CareTemps,Registered Nurse,99,42,4158
2025-11-01,S003,Leeds Care & Education Centre,North,NurseLink,Registered Nurse,67,42,2814
2025-11-01,S004,Newcastle Care & Education Centre,North,HealthStaffing,Registered Nurse,105,42,4410
2025-11-01,S005,Sheffield Care & Education Centre,North,HealthStaffing,Registered Nurse,64,42,2688
2025-11-01,S005,Sheffield Care & Education Centre,North,NurseLink,Senior Support Worker,18,28,504
2025-11-01,S005,Sheffield Care & Education Centre,North,NurseLink,Support Worker,43,23,989
2025-11-01,S006,Birmingham Care & Education Centre,Midlands,NurseLink,Registered Nurse,90,42,3780
2025-11-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Support Worker,50,23,1150
2025-11-01,S007,Nottingham Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,87,42,3654
2025-11-01,S007,Nottingham Care & Education Centre,Midlands,CareTemps,Senior Support Worker,52,28,1456
2025-11-01,S008,Leicester Care & Education Centre,Midlands,HealthStaffing,Support Worker,62,23,1426
2025-11-01,S009,Derby Care & Education Centre,Midlands,CareTemps,Senior Support Worker,119,28,3332
2025-11-01,S009,Derby Care & Education Centre,Midlands,CareTemps,Support Worker,98,23,2254
2025-11-01,S010,Coventry Care & Education Centre,Midlands,HealthStaffing,Support Worker,89,23,2047
2025-11-01,S010,Coventry Care & Education Centre,Midlands,NurseLink,Senior Support Worker,120,28,3360
2025-11-01,S011,London Care & Education Centre,South,HealthStaffing,Registered Nurse,106,42,4452
2025-11-01,S011,London Care & Education Centre,South,HealthStaffing,Support Worker,140,23,3220
2025-11-01,S011,London Care & Education Centre,South,HealthStaffing,Senior Support Worker,73,28,2044
2025-11-01,S012,Bristol Care & Education Centre,South,NurseLink,Registered Nurse,74,42,3108
2025-11-01,S012,Bristol Care & Education Centre,South,NurseLink,Senior Support Worker,44,28,1232
2025-11-01,S012,Bristol Care & Education Centre,South,CareTemps,Support Worker,74,23,1702
2025-11-01,S013,Reading Care & Education Centre,South,NurseLink,Registered Nurse,123,42,5166
2025-11-01,S013,Reading Care & Education Centre,South,HealthStaffing,Senior Support Worker,135,28,3780
2025-11-01,S014,Southampton Care & Education Centre,South,CareTemps,Registered Nurse,123,42,5166
2025-11-01,S014,Southampton Care & Education Centre,South,CareTemps,Senior Support Worker,27,28,756
2025-11-01,S015,Brighton Care & Education Centre,South,CareTemps,Support Worker,127,23,2921
2025-11-01,S015,Brighton Care & Education Centre,South,CareTemps,Senior Support Worker,25,28,700
2025-11-01,S016,Cardiff Care & Education Centre,Wales,CareTemps,Support Worker,121,23,2783
2025-11-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Registered Nurse,77,42,3234
2025-11-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Support Worker,114,23,2622
2025-11-01,S018,Newport Care & Education Centre,Wales,HealthStaffing,Support Worker,43,23,989
2025-11-01,S018,Newport Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,130,28,3640
2025-11-01,S018,Newport Care & Education Centre,Wales,HealthStaffing,Registered Nurse,38,42,1596
2025-11-01,S019,Wrexham Care & Education Centre,Wales,CareTemps,Registered Nurse,66,42,2772
2025-11-01,S019,Wrexham Care & Education Centre,Wales,CareTemps,Support Worker,55,23,1265
2025-11-01,S019,Wrexham Care & Education Centre,Wales,CareTemps,Senior Support Worker,28,28,784
2025-11-01,S020,Bangor Care & Education Centre,Wales,HealthStaffing,Registered Nurse,93,42,3906
2025-12-01,S001,Preston Care & Education Centre,North,NurseLink,Senior Support Worker,153,28,4284
2025-12-01,S001,Preston Care & Education Centre,North,HealthStaffing,Support Worker,183,23,4209
2025-12-01,S002,Manchester Care & Education Centre,North,HealthStaffing,Support Worker,93,23,2139
2025-12-01,S002,Manchester Care & Education Centre,North,HealthStaffing,Registered Nurse,129,42,5418
2025-12-01,S002,Manchester Care & Education Centre,North,NurseLink,Senior Support Worker,98,28,2744
2025-12-01,S003,Leeds Care & Education Centre,North,HealthStaffing,Senior Support Worker,107,28,2996
2025-12-01,S004,Newcastle Care & Education Centre,North,CareTemps,Senior Support Worker,78,28,2184
2025-12-01,S004,Newcastle Care & Education Centre,North,HealthStaffing,Support Worker,96,23,2208
2025-12-01,S005,Sheffield Care & Education Centre,North,HealthStaffing,Senior Support Worker,108,28,3024
2025-12-01,S006,Birmingham Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,69,42,2898
2025-12-01,S006,Birmingham Care & Education Centre,Midlands,HealthStaffing,Support Worker,87,23,2001
2025-12-01,S007,Nottingham Care & Education Centre,Midlands,CareTemps,Senior Support Worker,87,28,2436
2025-12-01,S007,Nottingham Care & Education Centre,Midlands,HealthStaffing,Support Worker,118,23,2714
2025-12-01,S008,Leicester Care & Education Centre,Midlands,CareTemps,Registered Nurse,52,42,2184
2025-12-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,88,42,3696
2025-12-01,S009,Derby Care & Education Centre,Midlands,CareTemps,Senior Support Worker,156,28,4368
2025-12-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Support Worker,130,23,2990
2025-12-01,S010,Coventry Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,137,28,3836
2025-12-01,S011,London Care & Education Centre,South,NurseLink,Support Worker,90,23,2070
2025-12-01,S012,Bristol Care & Education Centre,South,NurseLink,Support Worker,101,23,2323
2025-12-01,S012,Bristol Care & Education Centre,South,NurseLink,Registered Nurse,125,42,5250
2025-12-01,S013,Reading Care & Education Centre,South,NurseLink,Registered Nurse,144,42,6048
2025-12-01,S013,Reading Care & Education Centre,South,CareTemps,Senior Support Worker,21,28,588
2025-12-01,S013,Reading Care & Education Centre,South,NurseLink,Support Worker,43,23,989
2025-12-01,S014,Southampton Care & Education Centre,South,HealthStaffing,Registered Nurse,135,42,5670
2025-12-01,S014,Southampton Care & Education Centre,South,HealthStaffing,Support Worker,80,23,1840
2025-12-01,S015,Brighton Care & Education Centre,South,NurseLink,Support Worker,66,23,1518
2025-12-01,S015,Brighton Care & Education Centre,South,HealthStaffing,Registered Nurse,46,42,1932
2025-12-01,S015,Brighton Care & Education Centre,South,NurseLink,Senior Support Worker,70,28,1960
2025-12-01,S016,Cardiff Care & Education Centre,Wales,CareTemps,Support Worker,40,23,920
2025-12-01,S016,Cardiff Care & Education Centre,Wales,CareTemps,Registered Nurse,163,42,6846
2025-12-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Registered Nurse,89,42,3738
2025-12-01,S017,Swansea Care & Education Centre,Wales,CareTemps,Support Worker,87,23,2001
2025-12-01,S018,Newport Care & Education Centre,Wales,NurseLink,Support Worker,110,23,2530
2025-12-01,S018,Newport Care & Education Centre,Wales,CareTemps,Senior Support Worker,123,28,3444
2025-12-01,S018,Newport Care & Education Centre,Wales,HealthStaffing,Registered Nurse,123,42,5166
2025-12-01,S019,Wrexham Care & Education Centre,Wales,CareTemps,Support Worker,127,23,2921
2025-12-01,S020,Bangor Care & Education Centre,Wales,HealthStaffing,Registered Nurse,67,42,2814
2025-12-01,S020,Bangor Care & Education Centre,Wales,CareTemps,Senior Support Worker,79,28,2212
